id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
010111,-.51435292,-.61138558,-.090434551,-1.106649,-.21657206
010112,.82907408,.57332569,.64149225,.45982489,1.2998506
010113,.88135403,.72193319,.61392272,.78025669,1.113534
010114,1.2549762,1.1070504,1.1488173,.9811756,1.3543842
010221,-.82002932,-.86405975,-.59172559,-1.0823848,-.55908597
010222,-.71353781,-.82678616,-.36750242,-1.241974,-.32117105
010331,-1.9899303,-1.9018291,-2.3524001,-1.2923098,-1.7164408
010332,-1.8250844,-1.8782177,-1.8849245,-1.7312621,-1.2799964
010441,-1.0407194,-1.0848511,-1.0202345,-1.0710748,-.70299101
010442,-2.0179067,-2.0420973,-1.7676157,-2.1748466,-1.5421782
020101,-2.1683135,-2.6353457,-2.1853042,-2.9061377,-.53201962
020202,-.15004529,-.43892461,.048408139,-.9121412,.56939936
020303,-1.60461,-1.795508,-1.2970476,-2.1791642,-.81740367
020304,-1.0583159,-1.055195,-.3096168,-1.7505792,-.92924798
020405,-.0046569901,.33916435,.24365306,.41304123,-.88407314
020407,.17227472,.19777735,.089091487,.29586989,.082030766
020506,.1153386,.37272519,.60339588,.10546997,-.6093092
020508,.31782639,.47226173,.51136267,.39646855,-.15920396
030101,-.82283103,-.59161294,-.9037258,-.2234925,-1.1990967
030202,.94714689,.93528557,.86913985,.93424433,.77588409
030203,1.0161574,.86524069,.89637184,.76843077,1.1778891
030304,.84997571,.81695563,.66343439,.91544431,.76682574
030307,1.090284,1.159404,.92401099,1.3173649,.69914967
030405,1.099357,1.1638581,1.091046,1.1527009,.69675183
030406,.75495064,.7341013,.6892423,.72595626,.64700073
030408,.59672147,.67215598,.68853301,.60505497,.26581734
030509,.21543436,.41868356,.48544249,.31817025,-.36924726
030510,.18248565,.10056427,.0020237865,.19537,.36765754
030611,.66230196,.69737434,.88649309,.44905928,.39884999
030612,.56674194,.66890985,.75896955,.52555591,.1633507
030613,.52607352,.4470219,.93623781,-.094183594,.54977769
030614,-.62930346,-.069739863,-.25897744,.13191797,-1.9177084
030715,1.0452265,.99378967,1.1566657,.75062573,.92471433
030716,.83807707,.70636815,.92363977,.42815524,.96499383
040101,-1.0476586,-1.2591286,-1.4095269,-1.0091412,-.24536836
040202,1.1873306,1.1146559,1.2095325,.93307739,1.0993274
040203,.99538445,.6888814,.86352646,.4562254,1.5469307
040304,-.26563275,-.48476377,.19290034,-1.1521591,.27325979
040305,-.014214665,-.31425351,-.045549165,-.56979007,.73282963
040306,-.1515404,-.50310504,.18966439,-1.184815,.70395434
040307,.66917038,.49109086,.65115297,.28831664,.96167147
040308,.48104236,.32710648,.43028763,.19560665,.76020628
040309,.86201471,.53264207,.83039755,.18382235,1.4864038
040310,.8712132,.55677146,.79530907,.26763126,1.4625859
040411,.84840208,.77493042,1.0115308,.47154087,.8192032
040412,.919958,.91332769,1.056711,.69639754,.71351564
040413,.69105685,.55923778,.78615278,.28197983,.84970838
040514,.6602692,.48647004,.63595575,.29502022,.94502872
040515,.15747157,.1237931,.37443131,-.14563762,.17683487
040516,.640477,.50035191,.7650792,.18822774,.82697129
040617,,,,,
050101,-.3067905,-.109544,.046497546,-.263376,-.77143258
050102,-1.3023157,-1.1491299,-1.4175514,-.78481382,-1.3749472
050103,-1.5181677,-1.2866918,-1.4146318,-1.0579655,-1.7646468
050204,.079689614,.17876634,-.16094579,.51811922,-.15057263
050205,-1.5004008,-1.6836964,-2.0524151,-1.1754116,-.6417253
050206,-.60619062,-.54563272,-.62167954,-.42601496,-.61853838
050307,-.87859482,-.77323425,-.94604605,-.53619421,-.93392134
050308,-.28371185,-.50130552,-.60326213,-.35809302,.35806823
050409,1.5153284,1.4540706,1.3540438,1.4495357,1.3503847
060101,.87161195,.9671759,1.0630683,.79553545,.41675225
060102,.54950714,.4621532,.67485017,.20689215,.62604272
060203,.25034922,.21342322,.39822638,.0056596226,.2661624
060204,.63102567,.5324316,.42737803,.60180992,.7605353
060305,.96277201,.86458957,.97689486,.68355608,.98870182
060306,1.0663903,1.0575428,1.0349138,1.0022116,.85501933
060407,1.3571107,1.1960227,1.2926763,1.0065349,1.4607341
060408,1.4679936,1.3394575,1.3747482,1.2029835,1.4704833
070101,-.76828992,-1.0973686,-.39788079,-1.7417601,.16517749
070202,-.010096413,-.21753561,.18436271,-.61855835,.47793719
070303,.85006273,.60560405,.7670393,.39286906,1.2745385
070404,-.10693384,-.19322184,-.23477346,-.13568266,.146475
070505,-.15820076,-.22312939,-.37379539,-.050082341,.065534241
070606,-.41628829,-.43193167,-.8974852,.083583601,-.22158429
070707,.15508297,.19277564,-.055452291,.43610865,.055412583
080101,-1.8972943,-2.1097317,-1.566119,-2.5168428,-.99495715
080102,-2.3987598,-2.4904249,-1.9542874,-2.8614006,-1.697528
080103,-1.1129414,-1.1960202,-.86474836,-1.4507899,-.69315726
080104,-1.6656122,-1.8888769,-1.5724553,-2.0765874,-.75674182
080105,-3.2900951,-3.764226,-3.8399467,-3.4050491,-1.3163334
080206,-.63501608,-.9237867,-.88448113,-.89573812,.25119126
