id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
1011101,.87645614,.37217203,.75277644,-.055861462,1.6375602
1011102,,,,,
1011103,-1.5584612,-.96761262,-.44076282,-1.3711512,-2.4057195
1011104,-.7871176,-1.2641577,-.67429048,-1.6929224,.35816917
1011105,1.5780597,1.2484518,1.1419803,1.1958225,1.8335866
1011201,.6284253,.52726662,.38002425,.60731483,.6789273
1011202,,,,,
1011203,1.4339732,.99200666,.91200787,.94558549,1.9597147
1011204,.69982684,.50454247,.6156016,.32918519,.8981362
1011301,1.1962057,1.1880349,1.2139227,1.0107456,.87753373
1011302,.81047368,.71414161,.71271896,.62455505,.78481025
1011303,.6352244,.40251881,.44801876,.30572242,.93605918
1011304,.20470373,.086341172,-.30759922,.46927837,.43500364
1011305,1.0347698,.78010976,.55044949,.91035396,1.2991927
1011306,.77608192,.85482836,.68694067,.91377789,.41472337
1011401,.96393347,.97115862,.9690541,.8495,.68095219
1011402,1.224784,1.0236986,1.050929,.86600941,1.297956
1022101,-1.6017652,-1.732406,-1.5442154,-1.6998211,-.90522408
1022102,-2.280973,-1.7371641,-1.2969394,-1.9560072,-2.8204544
1022103,,,,,
1022104,-.6154812,-.72470784,-.53127801,-.82578188,-.23833743
1022105,-.72620142,-1.2811605,-1.0730081,-1.3260435,.60425115
1022106,.49668151,.41951436,.601147,.18441942,.49914268
1022201,-.6584484,-.8065353,-.4519076,-1.0583793,-.20592257
1022202,-.3414562,-.65729886,-.32100397,-.90982854,.37259248
1022203,-1.4968007,-1.7078059,-1.4353853,-1.762586,-.67181545
1022204,.28614059,.33316353,.53842705,.085442096,.087212093
1022205,-2.370723,-2.4874771,-1.5274756,-3.1304781,-1.5710492
1022206,.12583753,.025139796,.57443964,-.52736384,.24118653
1022207,.30151114,.31652859,.72237629,-.12965705,.14333346
1033101,-1.8303934,-1.7805194,-2.2269092,-1.1072227,-1.3770046
1033102,-1.248174,-1.2960538,-1.5537251,-.87321514,-.77420008
1033201,-1.4701349,-1.7411516,-1.9573457,-1.3030674,-.4762136
1033202,-.88852412,-.72354847,-.79525286,-.55963612,-.9756757
1033203,-2.0057576,-2.1235063,-1.8755333,-2.1008625,-1.2298833
1044101,-.84955436,-.8896845,-.87762606,-.7883628,-.53124207
1044102,-.75213939,-.87929475,-.91392416,-.73260927,-.27555528
1044103,-1.0593781,-1.0661125,-.76997626,-1.226385,-.78211349
1044201,-1.6236789,-1.788913,-2.0064037,-1.3434458,-.80619615
1044202,-1.3272738,-1.3440936,-.81624663,-1.700651,-.97918874
1044203,-2.1280358,-2.1438024,-1.5290949,-2.4853065,-1.5685462
2010101,-1.8211219,-2.2334678,-1.1276835,-3.0546219,-.57707739
2010102,-1.6328057,-2.2204082,-1.6506472,-2.5072033,-.020847416
2010103,-1.8920236,-2.1174505,-2.3455038,-1.619552,-.87395966
2010104,-1.9712766,-2.9278507,-2.0462937,-3.4362867,.46664792
2020201,1.3399963,1.0272489,1.1317271,.79185951,1.6043874
2020202,-.31104875,-.76928192,-.24286126,-1.1976664,.66952175
2020203,.2661337,.041010909,.28474748,-.20795204,.63287795
2020204,-.29036444,-.32388169,.12883258,-.73532093,-.18820865
2020205,-.061582427,-.214641,.34224209,-.74417055,.21366353
2020206,-.30882624,-.72277516,-.37309721,-.98034364,.59810776
2030301,-1.7263213,-1.7593549,-1.5169816,-1.7775185,-1.2032343
2030302,-1.0584911,-1.3906211,-.8325299,-1.7714934,-.1347319
2030401,-1.0073515,-.91675127,-.45363653,-1.2630365,-.96410358
2030402,-.67932701,-.8617456,.015674956,-1.6293465,-.20539466
2040501,-.91495317,-.12285964,-.5693354,.33927318,-2.2550108
2040502,.11622564,.29240638,.24799336,.29955554,-.27664104
2040503,.39604113,.55775201,.58336186,.461063,-.052133702
2040701,-.18679413,-.072967894,-.34919751,.21256064,-.34142816
2040702,.83087343,.71939313,.71612942,.63097841,.8311336
2040703,-2.2588511,-1.7129636,-.97710365,-2.2305257,-2.8402262
2050601,.10379165,.3431443,.46509218,.17746659,-.43426481
2050602,.12328246,.35677961,.56146991,.10662181,-.41685456
2050801,-.25084904,.13280225,.15863022,.090050146,-.97915494
2050802,.66383135,.62499231,.6547932,.51554328,.55646271
2050803,.29123774,.32485664,.26329309,.34502089,.14704542
2050804,.92002624,1.1262281,1.1360836,.9728477,.23548494
3010101,-.058134481,.0072336816,-.42453164,.43807715,-.13157457
3010102,-.89114177,-.66587317,-.90039527,-.34649312,-1.0852517
3010104,,,,,
3020203,1.1973376,1.152002,.97063315,1.1865613,.97743195
3020209,.76099753,.90949428,.8816539,.82143003,.24434593
3020210,.82246,.70154387,.56755126,.74613267,.85852075
3020307,.87488341,.78260773,.78598642,.67949462,.82237726
3030405,.41330066,.35255015,.11439615,.54577565,.44955677
3030406,1.1823875,1.2794721,1.2381958,1.1576942,.65649182
3030711,1.0210898,1.358175,1.228376,1.31489,.051933665
3030715,.85312265,.69055372,.371934,.92117029,.98663056
3030716,1.013463,1.5343418,1.3196082,1.5535411,-.32557103
3040508,.91355473,1.0412328,1.0557466,.8940258,.39310965
3040512,.86918718,1.0035613,.90632051,.97290957,.35908663
3040513,1.2150012,1.1658717,.96409714,1.2190692,1.0002148
3040614,.65526474,.66814566,.60700274,.64414108,.45272538
3040818,.52222812,.61407804,.60638982,.54350907,.18731149
3050919,.064679489,.13254026,-.093061924,.3412517,-.070019603
3050920,.15474434,.62199098,.65833437,.50638193,-.86084545
3050923,.10818589,.33526322,.53030038,.097500615,-.41341496
3050924,.022353927,.25206473,.34045592,.13155074,-.46948522
3050925,.51677477,.50102586,.49008313,.44811851,.40678883
3051017,.12668382,-.0037447042,-.30348602,.29647383,.39369395
3051021,.14880438,.098880336,.16357486,.021584645,.20401955
3051022,.25255921,.24662302,.0892976,.37251917,.21131314
3061126,.48490244,.5602991,.65563333,.39356118,.18352976
3061131,.71639585,.75004643,.96061176,.44389623,.42490265
3061227,.87777203,.86510414,.90198511,.71797556,.65586269
3061228,.061504614,.32087031,.3987616,.20208775,-.50159115
3061332,.46282837,.41757473,.82043517,-.038500823,.38503003
3061429,-.74445343,-.26658931,-.38612026,-.11308461,-1.5152711
3061430,-1.936461,-.91693157,-2.3224072,.60539657,-3.3618274
3061434,.0026252104,.35324746,.57104456,.090433016,-.74814731
3061435,-.72215778,-.014612492,.01921678,-.04657957,-1.9916437
3061441,1.5672926,1.1810083,1.350468,.86104268,1.9139794
3071536,.81612331,.85941774,.97771323,.63159931,.48669568
3071537,.95831245,.91990077,1.0344461,.6881246,.75910574
3071633,-.58949924,-.58498853,-.092007965,-1.003419,-.48722333
3071638,.86549205,.83086121,.92038906,.63544953,.68693519
3071639,.85861164,.69194263,.88096344,.41474158,.94512564
4010101,-.77897447,-.8293609,-.89431375,-.65871543,-.45085225
4010102,,,,,
4010103,-1.0594871,-1.5109409,-1.754894,-1.0744356,.19718847
4020204,,,,,
4020205,1.5234079,1.4766364,1.2115512,1.5535411,1.2246456
4020206,.70802295,.43738705,.72565925,.093374841,1.0414265
4020207,1.3159527,1.2325391,1.0849915,1.2230135,1.1383862
4020208,.34313715,.6871143,1.0262055,.2604582,-.50150549
4020209,1.5411892,1.4759924,1.3573507,1.4065357,1.2601088
4020310,,,,,
4020311,1.0549829,.79937774,.87726742,.61961651,1.2830453
4020312,.87041575,.66611427,.8691836,.37815624,1.0301689
4020313,.5324825,.31515396,.50856745,.081577688,.81430322
4020314,,,,,
